Artist,Lyrics,Genre
ويجز,"انا ادري مين انا يا حبيبي
مءمن ان السعي غير مصيري
رميت والبحر يشهد بتعوزني تلاقيني
بطل وقت مواجهه وشعبي مستنيني
زي ما يكون بحلم
تعالي شوف الشغل
في السما بلمع
ومش مستني الشكر
وبالظبط دي كوره
عشان كده بغني
بقول ومن قلبي
الكوره تسمعني
حيوا اللي يجمعنا
وما عاش اللي يفرقنا
غنيها وسمعنا
حيوا كل عباد الله
حيوا اللي يجمعنا
وما عاش اللي يفرقنا
غنيها وسمعنا
حيوا كل عباد الله
عز العرب تعالي شوف الكرم
عندي كوره وهدف
عندي كوره وطرب
عز العرب تعالي شوف الكرم
عندي كوره وهدف
عندي كوره وطرب
حيوا مرحب و الشباك طارحه
العرب ترعاكي يا فرحه
سدد وانا اشوف اقول ما شاء الله
من قطر لكل عباد الله
ميجيبهاش غير ابطالها
وبروس مرفوعه بحضرها
كل البشر هتشرفنا
كل العالم هنعرفها
لا اسال شكلك ولا عنوانك
مرحب بيك ناسك ومكانك
الكوره لغه كل العالم
ورينا كل اللي في امكانك
وفيت قد ما وعدت
حققت قد ما حلمت
كلام كتير معمليش سقف
بعد غيمه ضحكتلي الشمس
ورفرف يا علمي
اعلي وجدد املي
انا طموح وسريع وعنيد
كاس العالم عندي
والرب واحد
بالحب واحد
ده انا وانت انسان بنسي وبسامح
قالوا اختلفنا وانا قلت جايز
بس فيكوا منا ولسه حبايب
حيوا اللي يجمعنا
وما عاش اللي يفرقنا
غنيها وسمعنا
حيوا كل عباد الله
حيوا اللي يجمعنا
وما عاش اللي يفرقنا
غنيها وسمعنا
حيوا كل عباد الله
حيوا مرحب و الشباك طارحه
العرب ترعاكي يا فرحه
سدد وانا اشوف اقول ما شاء الله
من قطر لكل عباد الله
حيوا مرحب و الشباك طارحه
العرب ترعاكي يا فرحه
سدد وانا اشوف اقول ما شاء الله
من قطر لكل عباد الله
عز العرب تعالي شوف الكرم
عندي كوره وهدف
عندي كوره وطرب
عز العرب تعالي شوف الكرم
عندي كوره وهدف
عندي كوره وطرب",4
ويجز,"ايه يا اميره عن يدي بعيده
عايشه عيشه غير العيشه
وانا ع بابه احلامي بسيطه
ماعدي حلمي اني اكفيها
ومعييش ومنين انا اجيب
بشر بتجري بتجري بتجري
وقرش خسيس
بعلي حسي بقول وبعيد
يا زهر مالك سيبنا نعيش
انا مش زي امبارح
طمعت ف الحاجات
من امتي كانت فرقالي
غير لما الاميره جات
انا مش زي امبارح
طمعت ف الحاجات
من امتي كانت فرقالي
انا مش زي امبارح
طمعت فالحاجات
من امتي كانت فرقالي
غير لما الاميره جات
نويت اجيب جمار والماس
واقول يا عشق فوسط الناس
واقضي حبس لعبنا بالمال
اعيش وجع و حبيبي يرتاح
تايه فبحرك عيني فداك
بسيط ف دنيا سداح مداح
عيني فعينيها ولد وتاه
بكلم نفسي نفسي اتكلم معاها
دي بنت راجل بيه
جايز كلامي معاها عيب
وانا خفيف الضل والجيب
بدي في وعود و انا معييش شء
حلوه كالود كان نفسي اكون زيك
وكبرت ع الدنيا والفقر
عليا متايف
بس بكره تفرج بكره ترزق
يبقي حيلتي
هبني قصر و اسوق حديدتي واجيلك انتي
ومعييش ومنين هنجيب
بشر بتجري بتجري بتجري
وقرش خسيس
بعلي حسي بقول وبعيد
يا زهر مالك سيبنا نعيش
انا عايز بس تحكي افهم منها
بس مابينا لاشء لابسه بتمن بيتي كوليه
انا عايز بس حديده جديده وفيلا
وحاجات تعجبها واقولها حلوه عينيكي
انا عايز بس لبسي يخلق شء بينا
عشان لبسي مش هيليق
دي غلطه وبينا مافيش
وفلوس فلوس معدش اخرها من اولها
انا عايز بس اعرف ايه اللي شاغلها
ولا ايه اللي قدرت عليه
مش ابن باشا والدنيا قاسيه علينا
لو كان بايدي لرمشي تمشي عليه
امسكي ايدي وهنسيكي كل اللي كدبوا عليكي
ايام ياخويا وسنوات فايتني حلوين
كتير غيرها مش عاجبني
وابعدي عيون الناس
مش ابن باشا اغنيلها باحساس
انا مش زي امبارح
طمعت ف الحاجات
من امتي كانت فرقالي
انا مش زي امبارح
طمعت فالحاجات
من امتي كانت فرقالي
غير لما الاميره جات
انا مش زي امبارح
طمعت ف الحاجات
من امتي كانت فرقالي
انا مش زي امبارح
طمعت فالحاجات
من امتي كانت فرقالي
غير لما الاميره جات",0
ويجز,"والموج عالي بس سباح وهعومواللي يعيش بقي يا ما يشوفمن صغري عارف انا مين وفخور
شفت اللي سبتني واللي سبلتليجاي من توك توك علي جيب
شفت اللي بينافسني واللي بـ ينافقنيشفت شقي دلوقتي بعد وفي ايدي الارانب بتطير
عطشان وبستني تغييربشوفني نجم وعندي حلمومش هاستني اما ابقي كبير
وليه نستني نبقي كبار ما هي ببلاش بحلم وخلاصشفت كتير اقول من نفسي وناقصني بس اشوف صلاح",1
ويجز,"اللازمه ويجزدايره ع المصلحهكلها دايره ع المصلحهفاكر انك تقدر تاخد مني حاجهتبقي مجنون ومن هنا ع المصحه
المقطع الاول ويجزتحت العشرين واديلك دروس حياهصاحبنا الجناه وزملينا الاشقيابيعمل علشان يتشاف من الناس رياءتواجهم باللي حصل يقولوا ابرياء ابرياء
يقولوا ابرياءكلميني اتناشر لما الدنيا تروقكلميني اتناشر لما الضلمه تسوددريانين بالدنيا وعارفين الاصولانت مشغل الدماغ بس تيجي عندي تفوق
كلنا ولاد ناسنزاهه اما نعاملوكواتربينا في سوق وبرضههنعمل منها فلوس هنعمل منها فلوسغلطاتك بتعلقها علي شماعه الظروف
اللازمه ويجزدايره ع المصلحهكلها دايره ع المصلحهفاكر انك تقدر تاخد مني حاجهتبقي مجنون ومن هنا ع المصحه
المقطع الثاني ويجزالحاني حزينه كمان مكسورانا في المدينه دي كتاب مفتوحهمشي لبعيد لحد اما توهمش بتحبني يبقي تغورالحاني حزينه كمان مكسورانا في المدينه دي كتاب مفتوحهمشي لبعيد لحد اما توهمش بتحبني يبقي تغور
مغرور واقول لها تيجي جنبي ايهسكران في الشارع زي ليجيسي اتنين بالليلاتنين بالليل بالليل بالليل بالليلعايشها في الضلمه ومشوفتش نوربارد وعشانك انا دمي يفوراسكندريه باريس واحنا في راندفوشعري طويل اكحل بتدور بتدور
المقطع الثالث بابلوفاكر لما تنافسني هتشوف النورلا مش هتشوف النورطول ما الدنيا بتدورهابني ما بنا جسورمعلق قلبك بالصناره بس مليت
قتلت النوم في عيوني كل يوم بالليليا تري جت ولا لسه مجاتشيجربنا خلاص مفيش وقت تاني يضيعحياتي عامله زي النزهه بجد فكرت اقلبها فيلمعرفت ان انا مش هخبي لما عرفت ان انا مش هحبHelp متتعشمش وترمي الـ
الواقع ممكن يطلع كدبشيطاني في راسي بيفرز سمالواقع ممكن يطلع حلمولسه برضه
اللازمه ويجزدايره ع المصلحهكلها دايره ع المصلحهفاكر انك تقدر تاخد مني حاجهتبقي مجنون ومن هنا ع المصحه",0
ويجز,"عيني منها بشكل جدي
وتقيله مش تقلانه اتبخر سحري
ومش باجي علي بالها ومفكرتشي
انا بالي فيها بابا بالي مش ملكي
بلعب البخت سالتها ورفضتني
استغربتها امال فين هيبتي
حبيبي انا بضحك علي خيبتي
ياخي كنت ع الثبات وهزتني
واللي فات ده كان سحري
مش باجي علي بالها ان جت سيرتي
انا بالي معاها مش ملكي
قالت كلام قبل اما تشوفني
انا عارفني صعب ومش مفهوم
كلامي دبش او مش موزون
او بتحب حد والبال مشغول
مشوفتهاش ولا حد يلومني
ملاك برء ولا انا مخدوع
هي توتر ولا انا مهزوز
طب اذاها حد والكل مرفوض
ولا ايه القصه حبيبي فيدني
واللي اذوك ياما حبيبي سيبني
اخلي الجاي ورود وشموع
يتغنالها وبصوت مسموع
ولا ايه القصه حبيبي فيدني
واللي اذوك ياما حبيبي سيبني
انسيك ماضي كله دموع
ولا مقدرش اسيبك موجوع
سحرتني ولا سحرتلي
سحرتني ولا سحرتلي
عيون مش محتاجه تسحرلي
عيون مش محتاجه تسحرلي
ومش عايزه تجيبني بس جابتني
ومش عايزه تجيبني بس جابتني
ونسيتني وف قصتي حبستني
والله ووقعت بفكر فيك كتير
بالي عليك مشغول
وانا بتصعب عليا حالي
وانا بكتبلك كلام معسول
بعيد عن عيني وياعيني
مع غيري ومش مبسوط
دنا اضيع عمري يا عمري
واحبك حب مش مشروط
لا تلاقي عندي وعود كدابه
وكبرت علي ولاشء مضمون
كلامي علي قد اللي معايا
وفي الحب مستناش مردود
براحه علي قلبي المكسور
اللي مشكلته انه فيك مسحول
مين اختار اللي عينيك عملوه
وده مش ذنبي انا صحيت محطوط
ولا ايه القصه حبيبي فيدني
واللي اذوك ياما حبيبي سيبني
انسيك ماضي كله دموع
ولا مقدرش اسيبك موجوع
ولا ايه القصه حبيبي فيدني
واللي اذوك ياما حبيبي سيبني
انسيك ماضي كله دموع
ولا مقدرش اسيبك موجوع",1
ويجز,"علي قد ما ادتني الدنيا
علي قد ما راح اللي راح
ساب فراغ واشكي لنفسه
في شي ضاع في شي ضاع
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah
امنياتي اقول اخ وما اقولش اغراب
بتعادينا طخ طخ ونيشاني صواب
حفرولي الفخ يا اشرار غداره
ما مسونيش الضر غير بامر الله
بكره تهون اجبر بالخاطر
امي ربتني مقاتل
ما امشيش في الباطل ما اخزنشي وتلاقيني في الباطن
وعشاني يا ساحره جامليني المره دي
وادعيلي يا غاليه ما اشوطش علي الفاضي
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah
وبنطمح وبنطمع
بيبلو القدام بيحلو الجداد
بتعتم ونلمع وما يفرحش فينا العداء
وجري الوحوش بيقصف العمر
ولو علي الحاجات بنشتري وتقدم
ويحلو الجداد والايام تتعاد
ومشي الايام نكبر وبتكبر الاحلام
بنبص لقدام ولا عمري في ليله نسيت القدام
وان شلت هم
وان يوم كسرك تقل الحساب
سيبها علي الله
كله علي الله
صاحبي علي الله
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah
انا في ضهر ابو الصحاب
سلبوا اوطانا احلامنا اوطان
حلمنا نبقي كبار وكبرنا فرسان افرح يا قدر
عدينا بالصعب وقلت اخ وما قلتش اخ
سايبنها علي الله
صاحبي تشاڤي وانا مو صلاح
يا بلادي يا بلادي
بعوده يا بلادي
من طينه يا بشر
خدونا علي الهادي
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah
We Ballin حبيبي
ماشاء الله
Fakers keep fallin
ماشاء الله
Working like a slave اخي
Playing too hard
Lookin as fresh as Mo Salah",4
ويجز,"بستني وتسيبي ايدي
تبعدي وتضحكلي
تهمسي وتقولي
احنا اصلا مش لبعض
بعد ايام سوده تحنلي
كلك بتوحشيني
فاكره اني هقبل برجوعك
عشان شايفه حبي ضعف
بستني وتسيبي ايدي
تبعدي وتضحكلي
تهمسي وتقولي
احنا اصلا مش لبعض
بعد ايام سوده تحنلي
كلك بتوحشيني
فاكره اني هقبل برجوعك
عشان شايفه حبي ضعف
وسط جنون العالم سبتي طفل وتايه ناسي اسمي
كنت دوا وكنت حلمي اسد جروح قلبي الموجوع
حياتي نفق اخره انت وبايدي بخدر جسمي
بحاول اكون بارد لاني ساعه ما المسك هموت
Likes مبتحبينيش انتي بتحبي الـ
وانا كمان محبكيش انا بحب المايك
مين اللي قالي انساني ولسه بترن علي الموبايل
عندي كثير ع التلفون
Ring ring everynight
Everynight Ring ring ring ring
Ring ring ring ring everynight
Ring ring ring ring everynight
Everynighte everynighte752K
327
St دلوقتي بتقولي احنا نرجع
بيبي ليه فاكرها لعبه
سوري سوري سوري عندي شغل مش هينفع
من غير ما احاول يجوا سكه سوري جسمي بقي بيلمع
قطعوا جلدي دمي ساح
علي ترابك وسط الناس
وقت اما اصرخ اقول الاه
الغريب ما بيسمعهاش
محدش شافني ضعيف
وسيبته يعيش
جراح قلوب
وكمادات قلبي الحشيش",1
ويجز,"المقطع الاول عمر
الساعه بتفرق عندي بلاغي بس بتقل
مترنيش دلوقتي دماغي فيها شغل
مش بحب اللعبه غير لو فيها جون
طالع من العلبه فجاه زي خازوق
حاسس اني لوحدي مش لاقي حد فوق
مش لاقي حد فوق مش لاقي حد فوق
مش لاقي حد فوق
Wait me هشرب عشان افوقلك
لا مش حلو فا مضطر اديلك مهله
يلا جمب اصحابك هنا في الاسطبل
انا مليش في الصمت انا وفاشل في الصبر
No no non vale calmatevi
Sono egiziano ma nato qui
اللي انت وصلتله انا مستنيه يجيلي في تاكسي
بالنسبالي بدايه بالنسبالك مكسب
مش بتكلم انا بعمل
انت بتكتم لما بلعن
انت ثابت انا بعلي
مش شايف الفرق تبقي اعمي
محدش يعرف علي الحقيقه خبيت
هما اللي ابتدوا فا هقسمهم نصين
هقف علي الاستيدچ واسمع قبل اسمي
Rock Star rock star rock star
مش شايف حد من الاخصام دول اقزام
كل دولا Fake مش ابطال
هيجي يوم وهلبس رولكس من الماظ
هيجي يوم وهسمع شغلي في البابات
بكسر فيكو بالنسبالي انتوا اصنام
بكره الهري هحط الهاند فري
هتدفع الفيديا ما احنا متفقين
الفيزيا بنمشيها بقوانين
اسامينا مرميه هنا علي الطريق
هنا علي الطريق
مكتوبه علي الادراج وعلي الطريق
المقطع الثاني ويجز
الدنيا بتسلي اللي بيكدب ويصدق
احنا ابطال ايامنا مسلسل
ناجح معاهم وفاشل لوحدك
راسم الدور وفي شبر بغرق
غرقان في الغلط واشدهم للصح
طب ايه اللي فضل حبهم في القبر
معرفش سري غير انا والبحر
معرفش سري غير انا والبحر
ماشي مطرح ما رجلي توديني
ماشي بكره ابقي اجي وتستنيني
دايما قلبي بيختار الاتنين
دي اللي في قلبي ودي اللي تسليني
مسيبش حد الموت في الكتره ستره
صاحبي انت البارح صاحبي انا بكره
في فدماغي كلام انت فين سورصك
كلكم معملتوش شي يذكر
لا وايه حقودين
حقودين
كلها حقودين
بكسر طموحاتهم فازات
في فلساني شرار
بعمل للبيت سونار
علشان في سطوري غارات
زمايلي تنكه مبيحلوش
صحابك بالصدفه بيقدروك
حلوين موت ريش طاووس
هنرتبكم شيش طاووق
انت تركه في راسك فيرس
في راسي شركه
في راسي شركه
توحلت احنا البركه
مش سالكه السكه متجيش لحالك
احنا فرقه حقودين
صاحبي انا بيست
حقودين صاحبي انا بيست
حقودين دايما مش سالكين
حقودين زيحهم من الطريق
لا وايه مكشوفين
غبي علي مين
حقودين حقودين",0
ويجز,"ارمي ع قبرك ورود
ادعي ياجيلك ي تعود
روحك بتطوف بتطوف
حساك موجود
حساك موجود
من غير اخوك المكان كءيب المكان كءيب
مهما العمر يفوت و الايام تنسيك
متنسانيش
لسا ف اول العشرين
مش شايف الموت بعيد
بنسي الهم بحشيش
صاحبي كلنا بنضييع
بسهوله مبتجيش
حرام متغنيش
طاوعني متمشيش
انت راجل متبكيش
مفتكركش غير بالخير لما اقلب ف الدفاتر
انبت نفسي كنت حاطط بينا حاجز
اوعدني متسيبنيش اوعدني تفضل فاكر
ابويا قالي ادعيلك و انت غايب
واخد حريتك زي الطير ف الهواا
و اعد الايام عشان نبقي سوا
هنتقابل تاني كل حاجه ف وقتها
بس دلوقتي اقول الوداع و استناك
و اعد الايام عشان نبقي سوا
شايف صورتك ف السماااا
حياه مبتستناش مش واقفه عليا انا
انت كل اللي بتتمناه  انها تستناك
مبتكافحش لحاجه و بتسال ليه معانداك
موتك ده هدني
كل غلط بيشدني
رابط دموعي ف عيني لما تقولي انت قدوتي
شايف فيا الخير
دنيا ربت فيا الشر
و انت كنت غير يا طفلي  غير كل البشر
مشافش الدنيا بوش زياده
حلمه كان طياره و اجازه
اسف يا طفلي لا اعتراض ده ميعادك
ربك رحمك م العالم  رحمك م العالم
واخد حريتك زي الطير ف الهواا
هنتقابل تاني كل حاجه ف وقتها
بس دلوقتي اقول الوداع و استناك
و اعد الايام عشان نبقي سوا
و اعد الايام عشان نبقي سوا",0
ويجز,"مش فاضيلك نجم ومش فاضيلك
بينا سور لا تجيلي ولا اجيلك
بينا سور لا تجيلي ولا اجيلك
روحي للي انتي بترتاحيله
متنسيش اني مش فاضيلك
صاحبي قصه حياتي انا مالفها في اوضتي
هبعد لو صدقتي اني مشوهلك صورتي
حبيبتي اييه
في راسك غيري انااا
انا مش زي حد فيهم مش بتنسي
الدنيا اكبر مدرسه مبتديش اجازه
انتي بتحبيني وانا احب الازازه
عادي انسان بحس بالعجز وقلبي اتكسر
زعلي كاتموا في قلبي الدنيا الشر انتصر
مين كان يصدق شاغله قلبي وروحي بيها
مين كان يتوقع اني ضعيف وبقوي بيها
حبيتك وقلوب عشاقي كسرتيها
حبيتك اكتر من الاغاني الي بغنيها
شاغل بالي العشرين سنه جروا في يوم
معرفش مشكله اتحلت بالتليفون
ارجوكي متقوليش انا هلبس واجيلك
عشان انتي عارفه اني نجم ومش فاضيلك
مش فاضيلك نجم ومش فاضيلك
مشغول بناقش قلبي بدور ع بديلك
ف ساليني بيبي ساليني
واحشني الشتا واحشني حبيبي
ف ساليني ارجوكي ساليني
لما تقربي ومطولكيش بتعذبيني",0
